Ticker,Name,Exchange
BWPMOP=X,BWP/MOP,CCY
BDTEUR=X,BDT/EUR,CCY
BSD=X,USD/BSD,CCY
BGNTHB=X,BGN/THB,CCY
BWPBRL=X,BWP/BRL,CCY
BGNUSD=X,BGN/USD,CCY
BWPZWL=X,BWP/ZWL,CCY
BSDDKK=X,BSD/DKK,CCY
BNDEUR=X,BND/EUR,CCY
BWPEGP=X,BWP/EGP,CCY
BWPNZD=X,BWP/NZD,CCY
BRLXDR=X,BRL/XDR,CCY
BWPWST=X,BWP/WST,CCY
BOBCLP=X,BOB/CLP,CCY
BMDEUR=X,BMD/EUR,CCY
BRLNZD=X,BRL/NZD,CCY
BRLAUD=X,BRL/AUD,CCY
BWPARS=X,BWP/ARS,CCY
BRLBOB=X,BRL/BOB,CCY
BGNDKK=X,BGN/DKK,CCY
BGNLVL=X,BGN/LVL,CCY
BRLNOK=X,BRL/NOK,CCY
BMDCHF=X,BMD/CHF,CCY
BRLCLP=X,BRL/CLP,CCY
BWPVND=X,BWP/VND,CCY
BWPQAR=X,BWP/QAR,CCY
CADUSD=X,CAD/USD,CCY
CHFUSD=X,CHF/USD,CCY
CNYUSD=X,CNY/USD,CCY
CHFEUR=X,CHF/EUR,CCY
NZDGBP=X,NZD/GBP,CCY
CVECHF=X,CVE/CHF,CCY
CHFJPY=X,CHF/JPY,CCY
CADJPY=X,CAD/JPY,CCY
ZARSGD=X,ZAR/SGD,CCY
ZARSEK=X,ZAR/SEK,CCY
ZARMYR=X,ZAR/MYR,CCY
ZARJPY=X,ZAR/JPY,CCY
ZARCAD=X,ZAR/CAD,CCY
ZARAUD=X,ZAR/AUD,CCY
NZDCAD=X,NZD/CAD,CCY
NOKZAR=X,NOK/ZAR,CCY
NOKJPY=X,NOK/JPY,CCY
NOKGBP=X,NOK/GBP,CCY
JPYTRY=X,JPY/TRY,CCY
EURDOP=X,EUR/DOP,CCY
CZKZAR=X,CZK/ZAR,CCY
CZKRSD=X,CZK/RSD,CCY
CZKPHP=X,CZK/PHP,CCY
CZKLKR=X,CZK/LKR,CCY
CZKHKD=X,CZK/HKD,CCY
CZKBRL=X,CZK/BRL,CCY
CZKBGN=X,CZK/BGN,CCY
CZKBDT=X,CZK/BDT,CCY
CVE=X,USD/CVE,CCY
CUPGBP=X,CUP/GBP,CCY
CUP=X,USD/CUP,CCY
COPTHB=X,COP/THB,CCY
CNYTRY=X,CNY/TRY,CCY
CNYPHP=X,CNY/PHP,CCY
CNYLTL=X,CNY/LTL,CCY
CNYJPY=X,CNY/JPY,CCY
CNYILS=X,CNY/ILS,CCY
CNYGHS=X,CNY/GHS,CCY
CNYBWP=X,CNY/BWP,CCY
CNYAED=X,CNY/AED,CCY
CNHUSD=X,CNH/USD,CCY
CLF=X,USD/CLF,CCY
CHFZAR=X,CHF/ZAR,CCY
CHFVND=X,CHF/VND,CCY
CHFUAH=X,CHF/UAH,CCY
CHFTRY=X,CHF/TRY,CCY
CHFSOS=X,CHF/SOS,CCY
CHFMUR=X,CHF/MUR,CCY
CHFMKD=X,CHF/MKD,CCY
CHFMDL=X,CHF/MDL,CCY
CHFKPW=X,CHF/KPW,CCY
CHFIRR=X,CHF/IRR,CCY
CHFHRK=X,CHF/HRK,CCY
CHFBYR=X,CHF/BYR,CCY
CHFBND=X,CHF/BND,CCY
CHFBAM=X,CHF/BAM,CCY
CHFAWG=X,CHF/AWG,CCY
CADZAR=X,CAD/ZAR,CCY
CADWST=X,CAD/WST,CCY
CADTZS=X,CAD/TZS,CCY
CADTWD=X,CAD/TWD,CCY
CADTND=X,CAD/TND,CCY
CADSGD=X,CAD/SGD,CCY
CADSBD=X,CAD/SBD,CCY
CADSAR=X,CAD/SAR,CCY
CADRUB=X,CAD/RUB,CCY
CADRSD=X,CAD/RSD,CCY
CADPLN=X,CAD/PLN,CCY
CADNZD=X,CAD/NZD,CCY
CADMVR=X,CAD/MVR,CCY
CADMDL=X,CAD/MDL,CCY
CADLRD=X,CAD/LRD,CCY
CADKZT=X,CAD/KZT,CCY
CADKES=X,CAD/KES,CCY
CADGYD=X,CAD/GYD,CCY
CADGIP=X,CAD/GIP,CCY
CADGBP=X,CAD/GBP,CCY
CADEUR=X,CAD/EUR,CCY
CADCHF=X,CAD/CHF,CCY
CADAMD=X,CAD/AMD,CCY
CADAFN=X,CAD/AFN,CCY
CLFJPY=X,CLF/JPY,CCY
CNYAUD=X,CNY/AUD,CCY
CHFNAD=X,CHF/NAD,CCY
CADKYD=X,CAD/KYD,CCY
CLFEUR=X,CLF/EUR,CCY
EURDZD=X,EUR/DZD,CCY
CHFZMK=X,,
NZDSEK=X,NZD/SEK,CCY
CADMGA=X,CAD/MGA,CCY
CHFRSD=X,CHF/RSD,CCY
11667427.SW,11667427.SW,EBS
CHFBIF=X,CHF/BIF,CCY
CNH=X,USD/CNH,CCY
CZKVUV=X,CZK/VUV,CCY
CHFCLP=X,CHF/CLP,CCY
CHFAZN=X,CHF/AZN,CCY
CNYKES=X,CNY/KES,CCY
CZKMYR=X,CZK/MYR,CCY
CHFILS=X,CHF/ILS,CCY
CNYSEK=X,CNY/SEK,CCY
CZKINR=X,CZK/INR,CCY
CHFKYD=X,CHF/KYD,CCY
CHFUYU=X,CHF/UYU,CCY
CHFARS=X,CHF/ARS,CCY
CNYUGX=X,CNY/UGX,CCY
EUR-ILS.F,EUR-ILS.F,
CADMOP=X,CAD/MOP,CCY
CZKARS=X,CZK/ARS,CCY
CHFUGX=X,CHF/UGX,CCY
CADTRY=X,CAD/TRY,CCY
CHFAMD=X,CHF/AMD,CCY
CADTTD=X,CAD/TTD,CCY
CADYER=X,CAD/YER,CCY
CADBMD=X,CAD/BMD,CCY
CADVEF=X,CAD/VEF,CCY
CHFVEF=X,CHF/VEF,CCY
CHFCUP=X,CHF/CUP,CCY
CHFTJS=X,CHF/TJS,CCY
CHFPGK=X,CHF/PGK,CCY
CADPYG=X,CAD/PYG,CCY
CZKKES=X,CZK/KES,CCY
CZKISK=X,CZK/ISK,CCY
EUR-MNT.F,EUR-MNT.F,FRA
CHFPAB=X,CHF/PAB,CCY
CNHINR=X,CNH/INR,CCY
CZKVEF=X,CZK/VEF,CCY
CADSHP=X,CAD/SHP,CCY
CZKJOD=X,CZK/JOD,CCY
CHFEGP=X,CHF/EGP,CCY
CADBTN=X,CAD/BTN,CCY
CADPAB=X,CAD/PAB,CCY
CZKBAM=X,CZK/BAM,CCY
CHFKHR=X,CHF/KHR,CCY
CNYMXN=X,CNY/MXN,CCY
CADBIF=X,CAD/BIF,CCY
CHFGBP=X,CHF/GBP,CCY
CZKBND=X,CZK/BND,CCY
CZKJPY=X,CZK/JPY,CCY
CADUAH=X,CAD/UAH,CCY
CHFRUB=X,CHF/RUB,CCY
CADBDT=X,CAD/BDT,CCY
CHFDZD=X,CHF/DZD,CCY
CHFNPR=X,CHF/NPR,CCY
CNYGBP=X,CNY/GBP,CCY
19666227.SW,,
CHFDEM=X,CHF/DEM,CCY
19663223.SW,,
CNYMUR=X,CNY/MUR,CCY
CNYJOD=X,CNY/JOD,CCY
CLPJPY=X,CLP/JPY,CCY
CNYDKK=X,CNY/DKK,CCY
CADAWG=X,CAD/AWG,CCY
CHFBZD=X,CHF/BZD,CCY
CHFBRL=X,CHF/BRL,CCY
CNHGBP=X,CNH/GBP,CCY
CHFXAF=X,CHF/XAF,CCY
2219069=X,,
CUPUSD=X,CUP/USD,CCY
CADSZL=X,CAD/SZL,CCY
CADPGK=X,CAD/PGK,CCY
CHFSYP=X,CHF/SYP,CCY
NOKNZD=X,NOK/NZD,CCY
CADFKP=X,CAD/FKP,CCY
CHFNOK=X,CHF/NOK,CCY
CADKMF=X,CAD/KMF,CCY
CADCNY=X,CAD/CNY,CCY
CHFLYD=X,CHF/LYD,CCY
RSO.PA,RSO.PA,PAR
CHFLRD=X,CHF/LRD,CCY
ZARNZD=X,ZAR/NZD,CCY
CADMMK=X,CAD/MMK,CCY
CZKNZD=X,CZK/NZD,CCY
CHFMOP=X,CHF/MOP,CCY
CHFKGS=X,CHF/KGS,CCY
CHFMGA=X,CHF/MGA,CCY
CNYXDR=X,CNY/XDR,CCY
CNYLVL=X,CNY/LVL,CCY
CHFHKD=X,CHF/HKD,CCY
CADXCD=X,CAD/XCD,CCY
CHFOMR=X,CHF/OMR,CCY
CADMRO=X,CAD/MRO,CCY
CADNOK=X,CAD/NOK,CCY
CHFHUF=X,CHF/HUF,CCY
CADAOA=X,CAD/AOA,CCY
CADSLL=X,CAD/SLL,CCY
EURILS=X,EUR/ILS,CCY
CNYKRW=X,CNY/KRW,CCY
CADFJD=X,CAD/FJD,CCY
CLPBRL=X,CLP/BRL,CCY
CZKTHB=X,CZK/THB,CCY
CADBSD=X,CAD/BSD,CCY
EUR-GEL.F,EUR-GEL.F,
CHFFJD=X,CHF/FJD,CCY
CADANG=X,CAD/ANG,CCY
CHFCAD=X,CHF/CAD,CCY
