name,code
JW중외제약,001060.KS
LF,093050.KS
POSCO홀딩스,005490.KS
SG세계물산,004060.KS
SK아이이테크놀로지,361610.KS
SUN&L,002820.KS
TCC스틸,002710.KS
TYM,002900.KS
가온전선,000500.KS
경보제약,214390.KS
고려산업,002140.KS
광전자,017900.KS
남광토건,001260.KS
남성,004270.KS
넥센,005720.KS
다우기술,023590.KS
대교,019680.KS
대우부품,009320.KS
대한제분,001130.KS
동남합성,023450.KS
동양피스톤,092780.KS
동원산업,006040.KS
디와이파워,210540.KS
롯데렌탈,089860.KS
롯데리츠,330590.KS
명신산업,009900.KS
무림P&P,009580.KS
미래에셋맵스리츠,357250.KS
미원상사,002840.KS
방림,003610.KS
베트남개발1,096300.KS
사조오양,006090.KS
삼성화재해상보험,000810.KS
삼아알미늄,006110.KS
삼양통상,002170.KS
삼영전자공업,005680.KS
삼진제약,005500.KS
삼화전자공업,011230.KS
새론오토모티브,075180.KS
성문전자,014910.KS
성안,011300.KS
센트랄모텍,308170.KS
솔루엠,248070.KS
스틱인베스트먼트,026890.KS
신세계I&C,035510.KS
쌍방울,102280.KS
쏘카,403550.KS
아남전자,008700.KS
알루코,001780.KS
에쓰씨엔지니어링,023960.KS
에이엔피,015260.KS
오리엔트바이오,002630.KS
오리온홀딩스,001800.KS
와이투솔루션,011690.KS
원림,005820.KS
유니퀘스트,077500.KS
이엔플러스,074610.KS
이지스밸류플러스리츠,334890.KS
일동제약,249420.KS
일신석재,007110.KS
일양약품,007570.KS
일진머티리얼즈,020150.KS
제이준코스메틱,025620.KS
주연테크,044380.KS
지누스,013890.KS
지역난방공사,071320.KS
케이비아이동국실업,001620.KS
케이티스카이라이프,053210.KS
코웨이,021240.KS
태경비케이,014580.KS
티웨이홀딩스,004870.KS
파미셀,005690.KS
풀무원,017810.KS
풍산홀딩스,005810.KS
프레스티지바이오파마,950210.KS
하이트진로홀딩스,000140.KS
한국단자공업,025540.KS
한국카본,017960.KS
한국콜마홀딩스,024720.KS
한농화성,011500.KS
한미약품,128940.KS
한세엠케이,069640.KS
한전KPS,051600.KS
한화솔루션,009830.KS
한화투자증권,003530.KS
현대약품,004310.KS
현대오토에버,307950.KS
현대해상,001450.KS
현대홈쇼핑,057050.KS
화성산업,002460.KS
휴비스,079980.KS
BYC,001460.KS
CJ씨푸드,011150.KS
GKL,114090.KS
GS글로벌,001250.KS
HDC랩스,039570.KS
HL만도,204320.KS
JB금융지주,175330.KS
KB스타리츠,432320.KS
KC코트렐,119650.KS
KH 필룩스,033180.KS
LG,003550.KS
NAVER,035420.KS
강남제비스코,000860.KS
계양전기,012200.KS
광명전기,017040.KS
그린케미칼,083420.KS
금호에이치티,214330.KS
깨끗한나라,004540.KS
넷마블,251270.KS
노루홀딩스,000320.KS
대동,000490.KS
대상홀딩스,084690.KS
대웅,003090.KS
대유플러스,000300.KS
대창단조,015230.KS
대현,016090.KS
동아쏘시오홀딩스,000640.KS
동일고무벨트,163560.KS
동일산업,004890.KS
두올,016740.KS
드림텍,192650.KS
디씨엠,024090.KS
롯데손해보험,000400.KS
롯데쇼핑,023530.KS
롯데제과,280360.KS
무림페이퍼,009200.KS
미래산업,025560.KS
미래에셋증권,006800.KS
미원홀딩스,107590.KS
보해양조,000890.KS
사조동아원,008040.KS
삼성SDI,006400.KS
삼성물산,028260.KS
삼성전기,009150.KS
삼화콘덴서공업,001820.KS
상신브레이크,041650.KS
서울도시가스,017390.KS
성신양회,004980.KS
세기상사,002420.KS
신흥,004080.KS
아센디오,012170.KS
아시아나항공,020560.KS
에스원,012750.KS
에스케이바이오팜,326030.KS
에이리츠,140910.KS
에이프로젠제약,003060.KS
에이플러스에셋,244920.KS
엔에이치스팩19호,380440.KS
영풍제지,006740.KS
우리종금,010050.KS
우진아이엔에스,010400.KS
웅진씽크빅,095720.KS
유수홀딩스,000700.KS
유엔젤,072130.KS
유유제약,000220.KS
율촌화학,008730.KS
이수페타시스,007660.KS
이지스레지던스리츠,350520.KS
이화산업,000760.KS
인팩,023810.KS
일신방직,003200.KS
일정실업,008500.KS
일진디스플,020760.KS
일진하이솔루스,271940.KS
잇츠한불,226320.KS
전방,000950.KS
제주항공,089590.KS
조일알미늄,018470.KS
종근당,185750.KS
진양산업,003780.KS
진양홀딩스,100250.KS
진원생명과학,011000.KS
진흥기업,002780.KS
천일고속,000650.KS
체시스,033250.KS
초록뱀헬스케어,118000.KS
카프로,006380.KS
케이티앤지,033780.KS
태경산업,015890.KS
테이팩스,055490.KS
평화홀딩스,010770.KS
포스코스틸리온,058430.KS
풍산,103140.KS
하나금융지주,086790.KS
하이브,352820.KS
한국가스공사,036460.KS
한국내화,010040.KS
한국석유공업,004090.KS
한국쉘석유,002960.KS
한국주철관공업,000970.KS
한국특강,007280.KS
한성기업,003680.KS
한세예스24홀딩스,016450.KS
한솔피엔에스,010420.KS
한익스프레스,014130.KS
한일홀딩스,003300.KS
한창,005110.KS
현대그린푸드,005440.KS
현대로템,064350.KS
현대미포조선,010620.KS
현대위아,011210.KS
현대코퍼레이션,011760.KS
현대코퍼레이션홀딩스,227840.KS
화신,010690.KS
흥아해운,003280.KS
CJ 바이오사이언스,311690.KQ
ES큐브,050120.KQ
HPSP,403870.KQ
IBKS제17호스팩,405350.KQ
ISC,095340.KQ
JW신약,067290.KQ
KB오토시스,024120.KQ
KH 전자,111870.KQ
KH바텍,060720.KQ
KT서브마린,060370.KQ
SCI평가정보,036120.KQ
TJ미디어,032540.KQ
감성코퍼레이션,036620.KQ
강스템바이오텍,217730.KQ
골프존,215000.KQ
공구우먼,366030.KQ
교보9호스팩,331520.KQ
국순당,043650.KQ
국일제지,078130.KQ
그리티,204020.KQ
글로본,019660.KQ
까스텔바작,308100.KQ
나노브릭,286750.KQ
나래나노텍,137080.KQ
네오리진,094860.KQ
네오티스,085910.KQ
네이처셀,007390.KQ
넥스턴바이오,089140.KQ
노을,376930.KQ
농우바이오,054050.KQ
뉴인텍,012340.KQ
뉴트리,270870.KQ
다나와,119860.KQ
다보링크,340360.KQ
다우데이타,032190.KQ
대봉엘에스,078140.KQ
대유,290380.KQ
대유에이피,290120.KQ
대한약품,023910.KQ
더블유씨피,393890.KQ
더블유에스아이,299170.KQ
덕산네오룩스,213420.KQ
동구바이오제약,006620.KQ
동방선기,099410.KQ
동양파일,228340.KQ
드림시큐리티,203650.KQ
디에이피,066900.KQ
디엔에이링크,127120.KQ
디지틀조선,033130.KQ
레드로버,060300.KQ
레몬,294140.KQ
룽투코리아,060240.KQ
리더스 기술투자,019570.KQ
링크제니시스,219420.KQ
마인즈랩,377480.KQ
모비스,250060.KQ
모트렉스,118990.KQ
미코바이오메드,214610.KQ
바이오에프디엔씨,251120.KQ
베뉴지,019010.KQ
브랜드엑스코퍼레이션,337930.KQ
브이씨,365900.KQ
비씨엔씨,146320.KQ
삼기,122350.KQ
삼보판지,023600.KQ
삼성스팩4호,377630.KQ
샘씨엔에스,252990.KQ
성도이엔지,037350.KQ
세아메카닉스,396300.KQ
세종메디칼,258830.KQ
셀루메드,049180.KQ
셀바스헬스케어,208370.KQ
슈피겐코리아,192440.KQ
스타플렉스,115570.KQ
스톤브릿지벤처스,330730.KQ
스페코,013810.KQ
시스웍,269620.KQ
시티랩스,139050.KQ
신라젠,215600.KQ
신영스팩6호,344050.KQ
신영스팩8호,430220.KQ
신한제9호스팩,405640.KQ
쌍용정보통신,010280.KQ
씨씨에스,066790.KQ
씨엔플러스,115530.KQ
씨케이에이치,900120.KQ
아스타,246720.KQ
아시아경제,127710.KQ
아이비김영,339950.KQ
아이센스,099190.KQ
아이에스이커머스,069920.KQ
아이윈,090150.KQ
아이컴포넌트,059100.KQ
아이티센,124500.KQ
아이티아이즈,372800.KQ
알비더블유,361570.KQ
알에프세미,096610.KQ
알에프텍,061040.KQ
알체라,347860.KQ
애니플러스,310200.KQ
앤디포스,238090.KQ
앱클론,174900.KQ
어보브반도체,102120.KQ
에스맥,097780.KQ
에스아이리소스,065420.KQ
에스앤더블류,103230.KQ
에스에너지,095910.KQ
에스에이티이엔지,351320.KQ
에스에프에이,056190.KQ
에쎈테크,043340.KQ
에이디엠코리아,187660.KQ
에이디테크놀로지,200710.KQ
에이스토리,241840.KQ
에이텍,045660.KQ
에이텍티앤,224110.KQ
에이티넘인베스트,021080.KQ
엑세스바이오,950130.KQ
엑시콘,092870.KQ
엔바이오니아,317870.KQ
엠게임,058630.KQ
엠피대산,065150.KQ
영화테크,265560.KQ
예스티,122640.KQ
오디텍,080520.KQ
오이솔루션,138080.KQ
오픈베이스,049480.KQ
옵티시스,109080.KQ
옵티팜,153710.KQ
원방테크,053080.KQ
원준,382840.KQ
웨이버스,336060.KQ
웨이브일렉트로,095270.KQ
웰크론,065950.KQ
